StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,SrcPkts,Location
2021-05-18 02:07:13.621169,0.766411,tcp,189.2.86.98,61553,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2,London
2021-05-18 02:07:18.872809,3.5e-05,tcp,192.241.220.59,42505,   ->,159.65.26.180,25,S_RA,0,0,2,110,56,1,London
2021-05-18 02:07:20.770685,0.010713,tcp,92.63.197.83,56108,   ->,159.65.26.180,8539,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:07:21.584822,0.05511,tcp,45.134.26.47,59438,   ->,159.65.26.180,33330,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:07:22.991813,3.1e-05,tcp,200.233.230.232,28224,   ->,167.71.64.32,23,S_RA,0,0,2,112,58,1,Amsterdam
2021-05-18 02:07:24.272606,0.052908,tcp,87.251.70.87,53306,   ->,159.65.26.180,10443,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:07:36.834741,2.3e-05,tcp,162.142.125.172,45589,   ->,159.65.26.180,9987,S_RA,0,0,2,112,58,1,London
2021-05-18 02:07:38.707800,0.043136,tcp,45.155.205.80,51425,   ->,167.99.141.164,63344,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:07:40.906096,0.038472,tcp,45.134.26.44,59386,   ->,167.99.141.164,64258,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:07:42.045174,0.053204,tcp,45.134.26.42,59352,   ->,159.65.26.180,35009,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:07:46.145863,0.050018,tcp,45.134.26.51,59508,   ->,167.71.64.32,42757,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:07:48.117536,2.9e-05,tcp,185.220.205.196,53336,   ->,167.71.64.32,27017,S_RA,0,0,2,110,56,1,Amsterdam
2021-05-18 02:07:55.119320,0.049759,tcp,45.134.26.46,59420,   ->,167.71.64.32,52510,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:07:58.114928,3e-05,tcp,181.115.239.250,34529,   ->,159.65.26.180,445,S_RA,0,0,2,120,66,1,London
2021-05-18 02:07:58.847726,2.4e-05,tcp,181.115.239.250,27395,   ->,159.65.26.180,445,S_RA,0,0,2,120,66,1,London
2021-05-18 02:08:01.885009,1.030444,tcp,37.48.179.59,23288,   ->,167.99.141.164,554,S_RA,0,0,4,256,148,2,Frankfurt
