SrcAddr,total_flows,total_bytes,total_pkts,total_src_bytes,total_src_pkts,avg_bytes_per_flow,avg_pkts_per_flow,avg_duration,median_duration,n_unique_dports,n_unique_sports,n_unique_dstaddr,n_unique_proto,port_scan_ratio,dst_diversity_ratio,entropy_dport,entropy_dstaddr,entropy_proto,first_seen,last_seen,active_duration_seconds,n_active_hours,flows_per_active_hour,location_mode,bytes_per_pkt,src_bytes_ratio,src_pkts_ratio,total_flows_log1p,total_bytes_log1p,total_pkts_log1p,total_src_bytes_log1p,total_src_pkts_log1p,avg_bytes_per_flow_log1p,avg_pkts_per_flow_log1p,active_duration_seconds_log1p,flows_per_active_hour_log1p,bytes_per_pkt_log1p,iforest_score,iforest_label,hdbscan_cluster,hdbscan_score,hdbscan_label,knn_score,copod_score,lof_score,ensemble_score,anomaly_label_final
1.160.207.197,1,240,4,132,2,240.0,4.0,0.713466,0.713466,1,1,1,1,1.0,1.0,-0.0,-0.0,-0.0,2021-05-18 21:40:45.147277,2021-05-18 21:40:45.147277,0.0,1,1.0,London,60.0,0.55,0.5,0.6931471805599453,5.484796933490655,1.6094379124341003,4.890349128221754,1.0986122886681096,5.484796933490655,1.6094379124341003,0.0,0.6931471805599453,4.110873864173311,-0.14550997253522263,0,-1,0.04452865940335274,0,6.448694391930919e-05,19.30749498064631,1.409001178146314,0.02311099998136328,0
1.160.99.16,1,240,4,132,2,240.0,4.0,0.805833,0.805833,1,1,1,1,1.0,1.0,-0.0,-0.0,-0.0,2021-05-18 18:28:56.394455,2021-05-18 18:28:56.394455,0.0,1,1.0,Frankfurt,60.0,0.55,0.5,0.6931471805599453,5.484796933490655,1.6094379124341003,4.890349128221754,1.0986122886681096,5.484796933490655,1.6094379124341003,0.0,0.6931471805599453,4.110873864173311,-0.14236362006436915,0,-1,0.4263210368893259,0,0.00026147690820162395,20.523693906910587,1.060830714225292,0.10264508358196116,0
1.165.19.252,1,240,4,132,2,240.0,4.0,0.732318,0.732318,1,1,1,1,1.0,1.0,-0.0,-0.0,-0.0,2021-05-18 10:36:10.256885,2021-05-18 10:36:10.256885,0.0,1,1.0,London,60.0,0.55,0.5,0.6931471805599453,5.484796933490655,1.6094379124341003,4.890349128221754,1.0986122886681096,5.484796933490655,1.6094379124341003,0.0,0.6931471805599453,4.110873864173311,-0.14591794745636338,0,72,0.0,0,1.318970792872546e-05,19.6337572461363,0.9765856596343416,0.014481939031132537,0
1.168.240.87,1,240,4,132,2,240.0,4.0,0.747562,0.747562,1,1,1,1,1.0,1.0,-0.0,-0.0,-0.0,2021-05-18 14:50:36.392326,2021-05-18 14:50:36.392326,0.0,1,1.0,London,60.0,0.55,0.5,0.6931471805599453,5.484796933490655,1.6094379124341003,4.890349128221754,1.0986122886681096,5.484796933490655,1.6094379124341003,0.0,0.6931471805599453,4.110873864173311,-0.14525600354108237,0,65,0.0,0,3.636081193793199e-05,19.88329729173617,0.9736068251109987,0.015140999457447676,0
1.171.240.212,1,240,4,132,2,240.0,4.0,0.722793,0.722793,1,1,1,1,1.0,1.0,-0.0,-0.0,-0.0,2021-05-18 09:02:20.043993,2021-05-18 09:02:20.043993,0.0,1,1.0,London,60.0,0.55,0.5,0.6931471805599453,5.484796933490655,1.6094379124341003,4.890349128221754,1.0986122886681096,5.484796933490655,1.6094379124341003,0.0,0.6931471805599453,4.110873864173311,-0.14591794745636338,0,-1,0.2447597549177448,0,8.117013617154391e-05,19.507289214475115,1.322717281713126,0.06325410166908668,0
1.179.217.107,1,356,6,194,3,356.0,6.0,1.449201,1.449201,1,1,1,1,1.0,1.0,-0.0,-0.0,-0.0,2021-05-18 15:01:14.426134,2021-05-18 15:01:14.426134,0.0,1,1.0,Amsterdam,59.333333333333336,0.5449438202247191,0.5,0.6931471805599453,5.877735781779639,1.9459101490553132,5.272999558563747,1.3862943611198906,5.877735781779639,1.9459101490553132,0.0,0.6931471805599453,4.099884742597716,-0.07193318533946497,0,7,0.04272813688212911,0,0.0005426670865056444,33.56188069764707,1.004864912412049,0.07682357949874018,0
1.186.143.50,2,480,8,264,4,240.0,4.0,0.6394955,0.6394955,1,2,2,1,0.5,1.0,-0.0,1.0,-0.0,2021-05-18 12:54:04.855760,2021-05-18 15:36:34.185476,9749.329716,2,1.0,Frankfurt,60.0,0.55,0.5,1.0986122886681096,6.175867270105761,2.1972245773362196,5.579729825986222,1.6094379124341003,5.484796933490655,1.6094379124341003,9.18505638044575,0.6931471805599453,4.110873864173311,-0.03823596192260653,0,-1,0.027827736485458065,0,2.6263530688097805,36.39093671339056,19.564951124520494,0.09749888477684751,0
1.193.20.250,1,240,4,132,2,240.0,4.0,0.693555,0.693555,1,1,1,1,1.0,1.0,-0.0,-0.0,-0.0,2021-05-18 14:01:08.511503,2021-05-18 14:01:08.511503,0.0,1,1.0,Frankfurt,60.0,0.55,0.5,0.6931471805599453,5.484796933490655,1.6094379124341003,4.890349128221754,1.0986122886681096,5.484796933490655,1.6094379124341003,0.0,0.6931471805599453,4.110873864173311,-0.14615421016813074,0,85,0.0,0,4.381120809462217e-05,18.997585676937366,0.9989847755111025,0.013468460358735895,0
1.2.155.243,2,480,8,264,4,240.0,4.0,0.7026195,0.7026195,1,2,1,1,0.5,0.5,-0.0,-0.0,-0.0,2021-05-18 21:49:06.063217,2021-05-19 00:51:43.749903,10957.686686,2,1.0,London,60.0,0.55,0.5,1.0986122886681096,6.175867270105761,2.1972245773362196,5.579729825986222,1.6094379124341003,5.484796933490655,1.6094379124341003,9.30188772540236,0.6931471805599453,4.110873864173311,-0.08691409897744612,0,78,0.0,0,0.027106832533960297,35.27037167758562,0.9808913318678902,0.06386972993483667,0
1.2.156.106,1,240,4,132,2,240.0,4.0,0.696617,0.696617,1,1,1,1,1.0,1.0,-0.0,-0.0,-0.0,2021-05-18 18:01:05.054694,2021-05-18 18:01:05.054694,0.0,1,1.0,London,60.0,0.55,0.5,0.6931471805599453,5.484796933490655,1.6094379124341003,4.890349128221754,1.0986122886681096,5.484796933490655,1.6094379124341003,0.0,0.6931471805599453,4.110873864173311,-0.14615421016813074,0,85,0.0,0,4.491630202621229e-05,19.03902374446021,1.0211598963423492,0.013527411520510383,0
