StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,SrcPkts
2021/05/18 02:13:28.384794,0.053362,tcp,45.146.164.58,8080,   ->,159.65.26.180,13313,SR_RA,0,0,3,166,112,2
2021/05/18 02:13:44.089900,0.803485,tcp,80.94.93.24,59086,   ->,159.65.26.180,5060,SR_RA,0,0,3,166,112,2
2021/05/18 02:13:44.916827,0.051835,tcp,45.134.26.48,59457,   ->,159.65.26.180,26789,SR_RA,0,0,3,166,112,2
2021/05/18 02:13:47.607569,0.689705,tcp,36.90.59.230,56760,   ->,159.65.26.180,445,S_RA,0,0,4,232,124,2
2021/05/18 02:13:54.190909,0.000024,tcp,74.120.14.16,55628,   ->,159.65.26.180,7547,S_RA,32,32,2,112,58,1
2021/05/18 02:14:17.748763,0.049217,tcp,45.134.26.48,59457,   ->,159.65.26.180,12321,SR_RA,0,0,3,166,112,2
2021/05/18 02:14:21.196274,0.095452,tcp,45.134.26.54,59558,   ->,159.65.26.180,13377,SR_RA,0,0,3,166,112,2
2021/05/18 02:14:21.201824,0.000023,tcp,121.199.72.238,47220,   ->,159.65.26.180,6379,S_RA,0,0,2,128,74,1
2021/05/18 02:14:28.722467,0.000030,tcp,167.248.133.68,52169,   ->,159.65.26.180,8157,S_RA,0,0,2,112,58,1
2021/05/18 02:14:44.957748,0.000028,tcp,123.160.221.16,28230,   ->,159.65.26.180,8147,S_RA,0,0,2,120,66,1
2021/05/18 02:15:00.003177,0.000024,tcp,66.171.122.211,1149,   ->,159.65.26.180,445,S_RA,0,0,2,120,66,1
2021/05/18 02:15:00.701489,0.000023,tcp,66.171.122.211,2231,   ->,159.65.26.180,445,S_RA,0,0,2,120,66,1
2021/05/18 02:15:03.636926,0.061123,tcp,185.191.34.206,54566,   ->,159.65.26.180,7413,SR_RA,0,0,3,166,112,2
2021/05/18 02:15:19.633514,0.000038,tcp,119.45.48.108,42511,   ->,159.65.26.180,911,S_RA,0,0,2,110,56,1
2021/05/18 02:15:23.934822,0.591102,tcp,80.11.84.173,61112,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/05/18 02:15:37.082105,0.000028,tcp,192.241.218.49,53844,   ->,159.65.26.180,32920,S_RA,0,0,2,110,56,1
2021/05/18 02:15:45.409208,1.545917,tcp,49.235.76.69,62382,   ->,159.65.26.180,2975,S_RA,0,0,6,356,194,3
2021/05/18 02:15:45.452625,1.609160,tcp,49.235.76.69,62383,   ->,159.65.26.180,8080,S_RA,0,0,6,356,194,3
2021/05/18 02:15:45.484020,1.577749,tcp,49.235.76.69,62384,   ->,159.65.26.180,4145,S_RA,0,0,6,356,194,3
2021/05/18 02:15:45.503312,1.546421,tcp,49.235.76.69,62385,   ->,159.65.26.180,4153,S_RA,0,0,6,356,194,3
